TEAM,SEED,Region,prob_r32,prob_r16,prob_r8,prob_r4,prob_r2,prob_win
UC Irvine Anteaters,,,0.330615,0.109306,0.036138,0.011948,0.003950,0.001306
North Texas Mean Green,,,0.330615,0.109306,0.036138,0.011948,0.003950,0.001306
Nevada Wolf Pack,,,0.330615,0.109306,0.036138,0.011948,0.003950,0.001306
Liberty Flames,,,0.330615,0.109306,0.036138,0.011948,0.003950,0.001306
Northwestern Wildcats,,,0.329527,0.108588,0.035783,0.011791,0.003886,0.001280
Boise State Broncos,,,0.325414,0.105894,0.034460,0.011214,0.003649,0.001187
Colorado St Rams,,,0.325414,0.105894,0.034460,0.011214,0.003649,0.001187
California Golden Bears,,,0.324200,0.105105,0.034075,0.011047,0.003581,0.001161
Stanford Cardinal,,,0.320737,0.102872,0.032995,0.010583,0.003394,0.001089
Utah Utes,,,0.318992,0.101756,0.032459,0.010354,0.003303,0.001054
Minnesota Golden Gophers,,,0.318566,0.101484,0.032329,0.010299,0.003281,0.001045
South Carolina Gamecocks,,,0.318566,0.101484,0.032329,0.010299,0.003281,0.001045
Pittsburgh Panthers,,,0.318566,0.101484,0.032329,0.010299,0.003281,0.001045
Penn State Nittany Lions,,,0.318566,0.101484,0.032329,0.010299,0.003281,0.001045
Boston College Eagles,,,0.315163,0.099328,0.031304,0.009866,0.003109,0.000980
Georgia Tech Yellow Jackets,,,0.309045,0.095509,0.029517,0.009122,0.002819,0.000871
Rutgers Scarlet Knights,,,0.309045,0.095509,0.029517,0.009122,0.002819,0.000871
DePaul Blue Demons,,,0.307916,0.094813,0.029194,0.008989,0.002768,0.000852
Troy Trojans,,,0.294593,0.086785,0.025566,0.007532,0.002219,0.000654
