Step,Function,Total Time (s),Avg Time/Sim (ms),% of Total
1,generate_all_outcome_strings,0.0428,0.001308,0.7%
  1a,  -> champion_stratified_outcomes,0.0000,0.000000,0.0%
  1b,  -> next_game_stratified_outcomes,0.0000,0.000000,0.0%
  1c,  -> random_outcomes_batch,0.0000,0.000000,0.0%
  1d,  -> combine_outcome_lists,0.0000,0.000000,0.0%
  1e,  -> build_bitstring_mapping,0.0002,0.000005,0.0%
  1f,  -> expand_to_full_bitstrings,0.0112,0.000342,0.2%
2,calculate_all_outcome_probabilities,2.8163,0.085948,43.3%
3,calculate_all_scores_batched,2.8019,0.085508,43.1%
4,determine_winners_and_losers,0.2764,0.008434,4.2%
5,accumulate_results,0.2182,0.006659,3.4%
6,merge_and_generate_final_brackets,0.3483,0.010630,5.4%
  6a,  -> prefilter_unmergeable,0.0012,0.000037,0.0%
  6b,  -> merge_loop,0.0941,0.002873,1.4%
  6c,  -> decode_outcomes,0.2421,0.007389,3.7%
Total,,6.5040,0.198487,100.0%
